Consumption (kwh), Estimated Cost Inc. Tax (p), Standing Charge Inc. Tax (p), Start, End
0.000000, 6.424612425, 0.93, 2026-04-02T00:00:00+01:00, 2026-04-02T00:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T00:30:00+01:00, 2026-04-02T01:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T01:00:00+01:00, 2026-04-02T01:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T01:30:00+01:00, 2026-04-02T02:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T02:00:00+01:00, 2026-04-02T02:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T02:30:00+01:00, 2026-04-02T03:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T03:00:00+01:00, 2026-04-02T03:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T03:30:00+01:00, 2026-04-02T04:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T04:00:00+01:00, 2026-04-02T04:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T04:30:00+01:00, 2026-04-02T05:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T05:00:00+01:00, 2026-04-02T05:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T05:30:00+01:00, 2026-04-02T06:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T06:00:00+01:00, 2026-04-02T06:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T06:30:00+01:00, 2026-04-02T07:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T07:00:00+01:00, 2026-04-02T07:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T07:30:00+01:00, 2026-04-02T08:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T08:00:00+01:00, 2026-04-02T08:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T08:30:00+01:00, 2026-04-02T09:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T09:00:00+01:00, 2026-04-02T09:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T09:30:00+01:00, 2026-04-02T10:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T10:00:00+01:00, 2026-04-02T10:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T10:30:00+01:00, 2026-04-02T11:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T11:00:00+01:00, 2026-04-02T11:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T11:30:00+01:00, 2026-04-02T12:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T12:00:00+01:00, 2026-04-02T12:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T12:30:00+01:00, 2026-04-02T13:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T13:00:00+01:00, 2026-04-02T13:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T13:30:00+01:00, 2026-04-02T14:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T14:00:00+01:00, 2026-04-02T14:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T14:30:00+01:00, 2026-04-02T15:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T15:00:00+01:00, 2026-04-02T15:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T15:30:00+01:00, 2026-04-02T16:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T16:00:00+01:00, 2026-04-02T16:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T16:30:00+01:00, 2026-04-02T17:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T17:00:00+01:00, 2026-04-02T17:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T17:30:00+01:00, 2026-04-02T18:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T18:00:00+01:00, 2026-04-02T18:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T18:30:00+01:00, 2026-04-02T19:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T19:00:00+01:00, 2026-04-02T19:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T19:30:00+01:00, 2026-04-02T20:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T20:00:00+01:00, 2026-04-02T20:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T20:30:00+01:00, 2026-04-02T21:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T21:00:00+01:00, 2026-04-02T21:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T21:30:00+01:00, 2026-04-02T22:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T22:00:00+01:00, 2026-04-02T22:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T22:30:00+01:00, 2026-04-02T23:00:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T23:00:00+01:00, 2026-04-02T23:30:00+01:00
0.000000, 6.424612425, 0.93, 2026-04-02T23:30:00+01:00, 2026-04-03T00:00:00+01:00
